status,role,source_path,package_path,sha256,bytes
FROZEN,宽松stable-core完整成员表,outputs/rerun_new_dataset_20260716/min5_words/cross_val/stable_topk_selection_n20_relaxed_leaf7/stable_topk_latent_set.csv,附件/stable_core/stable_topk_latent_set.csv,1ea0e4592b2a5a89eaa8ded304408388123a333d420990905c8a2def988da6fe,121011
FROZEN,stable-core选择报告,outputs/rerun_new_dataset_20260716/min5_words/cross_val/stable_topk_selection_n20_relaxed_leaf7/stable_topk_selection_report.md,附件/stable_core/stable_topk_selection_report.md,b52b22409f7570350579106b5e88b012d3b95efd4b84eae98dc1cf95dd374be4,1226
FROZEN,表示probe macro结果,outputs/rerun_new_dataset_20260716/min5_words/interpretability/representation_probe_comparison_stable_core_leaf7_n20_relaxed/probe_macro_summary.csv,附件/representation_probe/probe_macro_summary.csv,28b2bf3696842f17ffd166b90269571fadd9750644ea87d2078c73c1296206a3,4602
FROZEN,表示probe逐标签结果,outputs/rerun_new_dataset_20260716/min5_words/interpretability/representation_probe_comparison_stable_core_leaf7_n20_relaxed/probe_summary_by_label.csv,附件/representation_probe/probe_summary_by_label.csv,1c1fa56e1b2fd54c1d59b8d0c78f38981625231c67bda2c27f5392f7ed2f9649,34049
FROZEN,非Stable复用与Stable刷新审计,outputs/rerun_new_dataset_20260716/min5_words/interpretability/representation_probe_comparison_stable_core_leaf7_n20_relaxed/reuse_and_refresh_audit.json,附件/representation_probe/reuse_and_refresh_audit.json,58e901dcf643a8195e4a162308b5fe1f1f2e324020b489a4cd20cca2765f6b61,10875
FROZEN,表示probe manifest,outputs/rerun_new_dataset_20260716/min5_words/interpretability/representation_probe_comparison_stable_core_leaf7_n20_relaxed/manifest.json,附件/representation_probe/manifest.json,9359406743ed505597158e6b447f56147cab398bedc78e6c0ebe79e46bfc55b6,2961
FROZEN,表示probe报告,outputs/rerun_new_dataset_20260716/min5_words/interpretability/representation_probe_comparison_stable_core_leaf7_n20_relaxed/representation_probe_comparison_report.md,附件/representation_probe/representation_probe_comparison_report.md,e136b48d7e26d1fed636cee2843f775146c747b42061720090ac8ed8f6bd3e57,2736
FROZEN,表示probe图,outputs/rerun_new_dataset_20260716/min5_words/interpretability/representation_probe_comparison_stable_core_leaf7_n20_relaxed/figures/performance_curves_macro.png,附件/representation_probe/performance_curves_macro.png,fccd93b18ae2d5db7b338e49653a1be7cc8109d82245f323976d9549834874ab,210827
FROZEN,主card逐latent忠实度,outputs/rerun_new_dataset_20260716/min5_words/interpretability/contrastive_latent_faithfulness_v3_gpt55_low_full218_randomized_packets_20260719/scorer/faithfulness_metrics.csv,附件/main_latent_cards/faithfulness_metrics.csv,a80997d8a1c91610d5a70c12e50312b4ceff15f9a245ccb9baa192da6cad222f,14758
FROZEN,214张冻结解释,outputs/rerun_new_dataset_20260716/min5_words/interpretability/contrastive_latent_faithfulness_v3_gpt55_low_full218_randomized_packets_20260719/explainer/validated_explanations.jsonl,附件/main_latent_cards/validated_explanations.jsonl,f9e3db90e4912051cadef893459c5e7e39be376461f52a1031ab273ac4dfd37b,1144559
FROZEN,主card完成审计,outputs/rerun_new_dataset_20260716/min5_words/interpretability/contrastive_latent_faithfulness_v3_gpt55_low_full218_randomized_packets_20260719/final_completion_audit.json,附件/main_latent_cards/final_completion_audit.json,63d95d18fb3399dc95c6f4c250aaa274e1faee58fc333fb4cce95e7a67de2cfe,273
FROZEN,主card packet审计,outputs/rerun_new_dataset_20260716/min5_words/interpretability/contrastive_latent_faithfulness_v3_gpt55_low_full218_randomized_packets_20260719/packet_integrity_audit.json,附件/main_latent_cards/packet_integrity_audit.json,2d879dde525f0a089b83072d67e41cb2d7188e1da1fffbdc7a9f3a0ab45af03a,412
FROZEN,Task5逐单元忠实度,outputs/rerun_new_dataset_20260716/min5_words/interpretability/task5_sae_pca_contrastive_faithfulness_v3_randomized_packets_build_20260719/scorer/faithfulness_metrics.csv,附件/sae_pca/faithfulness_metrics.csv,d4a4a6b1463c7031c6d7e2bf921e6832c281f1d2c6ee6129ca484feeaeb5b573,3764
FROZEN,Task5表示族汇总,outputs/rerun_new_dataset_20260716/min5_words/interpretability/task5_sae_pca_contrastive_faithfulness_v3_randomized_packets_build_20260719/analysis/family_summary.csv,附件/sae_pca/family_summary.csv,def83d8ab9b57cb38b8374e6020025bfd8a92f7cac3ee0ad5af2e07652a6e454,315
FROZEN,Task5 32个配对,outputs/rerun_new_dataset_20260716/min5_words/interpretability/task5_sae_pca_contrastive_faithfulness_v3_randomized_packets_build_20260719/analysis/paired_comparison.csv,附件/sae_pca/paired_comparison.csv,6b4e0df1ac56e439fb056b400abe8cf315ecaeeb4ce436609007422f8883ec9e,3575
