item_id,label,is_leaf_label,latent_idx,rank_within_label,inclusion_frequency,abs_cohens_d,evidence_class,behavior_component_id,behavior_component,representation_component_id,representation_component,grouping_status,short_name,primary_explanation,candidate_behavioral_explanation,representative_evidence,alternative_explanations,possible_confounds,limitations,card_confidence,model_reported_support_fraction,coding_provenance,grouping_provenance
RE_26319,RE,False,26319,9,1.0,0.6578204,linguistic_structure,,,,,nonbehavior_isolated_or_unresolved,so_that_purpose_clauses,"A majority of sentences contain the discourse marker 'so' followed by a clause expressing purpose, result, or explanation, often in therapeutic or advisory contexts. The pattern includes 'so that' purpose clauses (e.g., s001, s002, s003) and 'so' as a discourse marker introducing a consequence or summary (e.g., s023, s030, s040).","The sentences appear to function as therapeutic or counseling discourse, where the speaker uses 'so' to link actions to goals, provide feedback, or summarize understanding. This pattern supports collaborative problem-solving and motivational interviewing.",s001: and I wanted to get your reaction to this news so that I can better help you || s023: so that sounds doable,"The sentences may reflect a therapeutic register with frequent use of 'so' as a conversational filler or transition marker. | The pattern could be an artifact of transcription, where 'so' is used to indicate speaker continuation or turn-taking.","The dataset may be drawn from a single domain (e.g., counseling transcripts), inflating the frequency of 'so'. | Some sentences lack 'so' (e.g., s009, s010, s011, s012, s045, s046, s047, s048) but still fit the broader therapeutic context.","The pattern is primarily structural and does not capture the full range of behavioral functions. | Sentences without 'so' (e.g., s009, s010) are still included as supporting because they share the therapeutic context, but they weaken the linguistic pattern.",4,1.0,extracted_unchanged_from_validated_feature_card,current_ai_evidence_review
RE_26869,RE,False,26869,35,0.99,0.5273536,surface_artifact,,,,,nonbehavior_isolated_or_unresolved,possessive_clitic_errors,"Many sentences contain a possessive clitic ('s) that is incorrectly attached to a noun that should be plural or is used in a context where a plural or possessive is ambiguous, often resulting in ungrammatical or semantically odd constructions (e.g., 'your wife's foot feeding you', 'your son's always healthy', 'your blood Sugar's under control').",The available sentences do not support a stable behavioral-function interpretation.,s006: your wife's foot feeding you huh || s009: so your husband's always expand your clumsy rushing into things,"The sentences may be from a corpus of therapy or counseling sessions, as many involve personal concerns and advice. | The pattern could reflect a transcription artifact where apostrophes are inserted incorrectly due to speech recognition errors. | The sentences might be examples of non-native English or dialectal variation in possessive marking.","The sentences are drawn from a single source (e.g., therapy transcripts) which may have systematic transcription errors. | Some sentences without possessive clitics still contain other grammatical errors, suggesting a broader pattern of non-standard English. | The feature ID may correspond to a specific annotation or error tag, biasing the selection toward sentences with possessive errors.","The analysis is based solely on surface form and does not consider deeper syntactic or semantic context. | The sample size is small and may not be representative of a larger population. | The interpretation may conflate different types of errors (e.g., possessive vs. plural) under one label.",4,1.0,extracted_unchanged_from_validated_feature_card,current_ai_evidence_review
RES_29701,RES,True,29701,14,0.72,0.31740245,unclear_or_mixed,,,,,nonbehavior_isolated_or_unresolved,you_know_what_questions,"Many sentences contain the discourse marker 'you know what' followed by a statement or question, often in a conversational or counseling context. This pattern appears in about 14 sentences, but the set is heterogeneous with many other question forms and statements.",The available sentences do not support a stable behavioral-function interpretation.,s001: okay you know what kinds of physical activity do you enjoy doing if you were to do physical activity what do you like doing || s002: you know what's scary,"Many sentences are questions (e.g., 'do you have any questions', 'Are you having problems...'), but this pattern is not dominant across the set. | Several sentences contain 'got it' or 'okay' as acknowledgments, but these are few. | The set may reflect a mix of counseling dialogue with varied discourse functions.","The set includes multiple speakers and contexts, leading to high variability. | Transcription artifacts like incomplete sentences or punctuation differences may obscure patterns.","Only 14 out of 50 sentences share the 'you know what' pattern, insufficient for a majority. | The remaining sentences show diverse structures and functions.",2,0.28,extracted_unchanged_from_validated_feature_card,current_ai_evidence_review
RES_26319,RES,True,26319,15,0.73,0.31136128,linguistic_structure,,,,,nonbehavior_isolated_or_unresolved,so_that_purpose_clauses,"A majority of sentences contain the discourse marker 'so' followed by a clause expressing purpose, result, or explanation, often in therapeutic or advisory contexts. The pattern includes 'so that' purpose clauses (e.g., s001, s002, s003) and 'so' as a discourse marker introducing a consequence or summary (e.g., s023, s030, s040).","The sentences appear to function as therapeutic or counseling discourse, where the speaker uses 'so' to link actions to goals, provide feedback, or summarize understanding. This pattern supports collaborative problem-solving and motivational interviewing.",s001: and I wanted to get your reaction to this news so that I can better help you || s023: so that sounds doable,"The sentences may reflect a therapeutic register with frequent use of 'so' as a conversational filler or transition marker. | The pattern could be an artifact of transcription, where 'so' is used to indicate speaker continuation or turn-taking.","The dataset may be drawn from a single domain (e.g., counseling transcripts), inflating the frequency of 'so'. | Some sentences lack 'so' (e.g., s009, s010, s011, s012, s045, s046, s047, s048) but still fit the broader therapeutic context.","The pattern is primarily structural and does not capture the full range of behavioral functions. | Sentences without 'so' (e.g., s009, s010) are still included as supporting because they share the therapeutic context, but they weaken the linguistic pattern.",4,1.0,extracted_unchanged_from_validated_feature_card,current_ai_evidence_review
REC_26319,REC,True,26319,39,0.8,0.74662703,linguistic_structure,,,,,nonbehavior_isolated_or_unresolved,so_that_purpose_clauses,"A majority of sentences contain the discourse marker 'so' followed by a clause expressing purpose, result, or explanation, often in therapeutic or advisory contexts. The pattern includes 'so that' purpose clauses (e.g., s001, s002, s003) and 'so' as a discourse marker introducing a consequence or summary (e.g., s023, s030, s040).","The sentences appear to function as therapeutic or counseling discourse, where the speaker uses 'so' to link actions to goals, provide feedback, or summarize understanding. This pattern supports collaborative problem-solving and motivational interviewing.",s001: and I wanted to get your reaction to this news so that I can better help you || s023: so that sounds doable,"The sentences may reflect a therapeutic register with frequent use of 'so' as a conversational filler or transition marker. | The pattern could be an artifact of transcription, where 'so' is used to indicate speaker continuation or turn-taking.","The dataset may be drawn from a single domain (e.g., counseling transcripts), inflating the frequency of 'so'. | Some sentences lack 'so' (e.g., s009, s010, s011, s012, s045, s046, s047, s048) but still fit the broader therapeutic context.","The pattern is primarily structural and does not capture the full range of behavioral functions. | Sentences without 'so' (e.g., s009, s010) are still included as supporting because they share the therapeutic context, but they weaken the linguistic pattern.",4,1.0,extracted_unchanged_from_validated_feature_card,current_ai_evidence_review
REC_17861,REC,True,17861,44,0.83,0.72938234,linguistic_structure,,,,,nonbehavior_isolated_or_unresolved,second-person statements about personal experiences,"The sentences predominantly use second-person 'you' to describe the addressee's actions, feelings, or states, often in a conversational or therapeutic context. The pattern is a stable linguistic structure of addressing the listener directly.",The available sentences do not support a stable behavioral-function interpretation.,s001: you keep throwing wine into the conversation || s008: you look really healthy good very healthy,The sentences may reflect a therapeutic or coaching discourse where the speaker reflects or summarizes the client's statements. | The pattern could be a transcription artifact from a conversation where the speaker frequently uses 'you' to engage the listener.,"The sentences are extracted from a larger conversation, so the pattern may be influenced by the dialogue context. | Some sentences include discourse markers like 'okay so' or 'and' that are typical of spoken language.","The pattern is purely structural and does not capture the variety of topics or functions across sentences. | Some sentences are incomplete or contain disfluencies, which may affect pattern detection.",4,1.0,extracted_unchanged_from_validated_feature_card,current_ai_evidence_review
REC_26869,REC,True,26869,47,0.71,0.7188932,surface_artifact,,,,,nonbehavior_isolated_or_unresolved,possessive_clitic_errors,"Many sentences contain a possessive clitic ('s) that is incorrectly attached to a noun that should be plural or is used in a context where a plural or possessive is ambiguous, often resulting in ungrammatical or semantically odd constructions (e.g., 'your wife's foot feeding you', 'your son's always healthy', 'your blood Sugar's under control').",The available sentences do not support a stable behavioral-function interpretation.,s006: your wife's foot feeding you huh || s009: so your husband's always expand your clumsy rushing into things,"The sentences may be from a corpus of therapy or counseling sessions, as many involve personal concerns and advice. | The pattern could reflect a transcription artifact where apostrophes are inserted incorrectly due to speech recognition errors. | The sentences might be examples of non-native English or dialectal variation in possessive marking.","The sentences are drawn from a single source (e.g., therapy transcripts) which may have systematic transcription errors. | Some sentences without possessive clitics still contain other grammatical errors, suggesting a broader pattern of non-standard English. | The feature ID may correspond to a specific annotation or error tag, biasing the selection toward sentences with possessive errors.","The analysis is based solely on surface form and does not consider deeper syntactic or semantic context. | The sample size is small and may not be representative of a larger population. | The interpretation may conflate different types of errors (e.g., possessive vs. plural) under one label.",4,1.0,extracted_unchanged_from_validated_feature_card,current_ai_evidence_review
QUO_12340,QUO,True,12340,22,0.98,0.92280924,linguistic_structure,,,,,nonbehavior_isolated_or_unresolved,do_you_questions,"All sentences begin with 'do you' and are questions, forming a stable linguistic pattern of interrogative structures used to ask about personal experiences, opinions, or actions.","The sentences function as interview or clinical assessment questions, eliciting information about the addressee's thoughts, feelings, behaviors, or medical history.",s001: do you think that this will be helpful I'm black Franny || s008: do you drink alcohol,"The sentences are all questions but vary in topic, suggesting a mixed topical pattern. | The sentences may reflect a specific discourse context such as therapy or medical intake, but this is not directly observable from the text alone.","The pattern may be an artifact of data collection focusing on question-answer pairs. | Some sentences contain transcription errors or incomplete phrases (e.g., s004, s048) that do not affect the initial 'do you' pattern.",The behavioral function is inferred but not explicitly confirmed by context. | The pattern is purely structural and does not capture semantic or pragmatic variation.,5,1.0,extracted_unchanged_from_validated_feature_card,current_ai_evidence_review
QUC_11660,QUC,True,11660,12,1.0,0.79158324,linguistic_structure,,,,,nonbehavior_isolated_or_unresolved,wh_questions_with_would,"The majority of sentences are wh-questions (what, how, where, when, why) that use the modal 'would' to ask about preferences, hypothetical actions, or opinions. This pattern is consistent across diverse topics and contexts.","The sentences function as probing questions, likely from a counselor or interviewer, aimed at eliciting the respondent's thoughts, feelings, or plans regarding behavior change or personal goals.",s002: What would you say? || s017: what would you like to talk about,"The sentences are all questions, but some use 'would' while others use other modals or tenses, suggesting a broader pattern of interrogative forms. | The sentences may reflect a therapeutic or coaching discourse where the speaker asks open-ended questions to explore the client's perspective.","The dataset may be drawn from a specific domain (e.g., counseling, health coaching) that naturally uses many 'would' questions. | Transcription artifacts or incomplete sentences may obscure the pattern.","Outliers include statements, non-'would' questions, and fragments that do not fit the primary pattern. | The pattern is structural and does not capture the full functional diversity of the sentences.",4,0.84,extracted_unchanged_from_validated_feature_card,current_ai_evidence_review
SU_30223,SU,True,30223,6,0.94,0.98544824,unclear_or_mixed,,,,,nonbehavior_isolated_or_unresolved,apology_and_permission_request,"The majority of sentences contain either an apology (e.g., 'I'm sorry', 'sorry') or a polite permission-seeking phrase (e.g., 'do you mind if', 'is it okay if', 'would it be okay if'). These two patterns together cover most sentences, though they are distinct in function.","The sentences serve to mitigate face-threatening acts: apologies express regret or repair social rapport, while permission requests seek consent before proceeding, both common in service or counseling interactions.",s001: I'm really sorry for your loss || s027: is it okay if I share some thoughts with you as well,"The sentences are from a healthcare or counseling context, with many involving patient interactions (e.g., discussing medications, diet, smoking). | The sentences show a pattern of hedging and politeness markers (e.g., 'I think', 'maybe', 'just') to soften directives or questions.","The dataset may be drawn from multiple conversation types (e.g., apologies in condolences vs. apologies in service encounters), mixing different pragmatic functions. | Transcription artifacts (e.g., false starts, repetitions) may obscure the underlying pattern.","The two main patterns (apology and permission request) are functionally distinct, making a single behavioral interpretation difficult. | Some sentences lack clear apology or permission markers, reducing coverage.",3,0.78,extracted_unchanged_from_validated_feature_card,current_ai_evidence_review
