label,is_leaf_label,component_ref,representation_component,representation_component_en,definition,supporting_feature_count,supporting_sae_features,representative_evidence,confidence,boundary_note,status,evidence_class,structural_recurrence
RE,False,RE:emotion_focused_reflection,情绪与压力反映,emotion-focused reflection,重述压力、挫折、羞愧或不堪重负等主观体验。,2,F22558|F26968,F22558/s001: Wow okay so it sounds like you're feeling pretty confident after our discussion || F26968/s002: okay so right now you have so much going on that you're just feeling totally overwhelmed you don't even know where to start,中,当前话语可显示情绪概括，但无法确认是否准确回应前文。,current_ai_grouping_pending_human_review,behavioral_function,recurrent_multi_latent_candidate
RE,False,RE:confirmatory_exploration,确认与探索性追问,confirmatory and exploratory prompting,通过确认式或开放式追问促使对方说明计划、原因或立场。,2,F29759|F15504,"F29759/s007: So that means you want to quit now right || F15504/s005: So, you're gonna quit then?",中,卡片内部混合确认、提问和反映，不宜进一步细分。,current_ai_grouping_pending_human_review,behavioral_function,recurrent_multi_latent_candidate
REC,True,REC:emotion_experience_reflection,情绪与经历反映,emotion and experience reflection,概括情绪状态、困境或重要经历并表达理解。,4,F22558|F16256|F26968|F32596,F22558/s001: Wow okay so it sounds like you're feeling pretty confident after our discussion || F16256/s003: and when you say it was scary I hear you saying on some level was scary for you and your your safety but it also sounds like it was scary because all these other variables or elements were put in motion that were disruptive || F26968/s002: okay so right now you have so much going on that you're just feeling totally overwhelmed you don't even know where to start,中,缺少前文，准确性和复杂程度均待人工核对。,current_ai_grouping_pending_human_review,behavioral_function,recurrent_multi_latent_strong_candidate
QUC,True,QUC:structured_self_rating,结构化自我评分,structured self-rating,要求在数值量表上报告重要性、信心、准备度或其他主观状态。,10,F27857|F7037|F664|F12902|F5178|F6639|F21296|F2550|F29247|F29931,F27857/s001: okay so how confident are you that you can make these changes on a scale of one to ten one being not confident at all and ten being the most confident you've ever felt || F7037/s001: great I'm in Romania to get a break from the sugar I sort of on a scale of 1 to 10 with 10 being the most how motivated do you feel you are to make this change || F664/s004: so on a scale of zero to 100 how important do you think it is for you to make this change,高,量表形式高度稳定，但仍属于问句实现与评估功能的结合。,current_ai_grouping_pending_human_review,behavioral_function,recurrent_multi_latent_strong_candidate
QUC,True,QUC:collaborative_option_question,许可与选项协商,permission and option negotiation,征求讨论许可、询问方案接受度或让对方在选项间表达立场。,4,F18646|F4998|F8089|F32273,F18646/s001: it's kind of the same old routine um I wonder if it would be okay if we could talk about some of the options that are out there for folks that have some mild depression || F4998/s001: so is this an inconvenience that you can move past or is this a major life event that does change things || F8089/s005: so does either of those sound like they might work for you,中,卡片内部也包含一般探索问题。,current_ai_grouping_pending_human_review,behavioral_function,recurrent_multi_latent_strong_candidate
GI,True,GI:medication_information_instruction,用药信息与执行说明,medication information and administration instruction,解释药物用途、剂量、频率、副作用或服用要求。,3,F8166|F16131|F19483,"F8166/s008: okay so I wrote a prescription for an antibiotic for Aidan that should help with the ear infection || F16131/s001: yeah I'm the pharmacist on duty citalopram okay it's an antidepressant and it comes in   and  milligram strength it's excreted in the urine and it has a half-life of about  hours for side effects there are sexual side effects heart side effects and stomachs side effects || F19483/s004: Okay well smoking really is really bad for you, you know it causes things like lung cancer, emphysema, heart disease.",高,部分卡片同时包含建议和风险信息。,current_ai_grouping_pending_human_review,behavioral_function,recurrent_multi_latent_strong_candidate
SU,True,SU:empathic_validation,共情理解与困难确认,empathic understanding and validation,表达理解、承认困难或确认对方处境。,4,F24760|F29825|F4756|F7389,F24760/s001: I completely understand your you have a busy lifestyle || F29825/s001: sure it's quite understandable to be nervous coming in to talk to it like this || F4756/s004: and I do get where you're coming from,高,I understand 等模板可能只体现话语形式，真实共情效果仍需语境。,current_ai_grouping_pending_human_review,behavioral_function,recurrent_multi_latent_strong_candidate
SU,True,SU:help_offering,提供帮助与支持可用性,offering help and support availability,明确表达愿意帮助或询问对方需要何种帮助。,5,F9720|F4512|F16190|F19935|F28603,F9720/s005: listen I really want to help you || F4512/s005: yeah I really want to help you || F16190/s001: I'm here to help,高,help 词汇高度重复，需把行为功能与词汇模板同时报告。,current_ai_grouping_pending_human_review,behavioral_function,recurrent_multi_latent_strong_candidate
AF,True,AF:positive_evaluation,行动、目标与个人优势肯定,"affirmation of actions, goals, and strengths",正向评价对方的行动、计划、努力或个人优势。,5,F30870|F6676|F28469|F22411|F24167,F30870/s004: that's a great goal to have for yourself || F6676/s003: I'm glad you called. || F28469/s002: I am so proud of you that is awesome Taylor think I am just that couldn't be happier and wait till we tell the group,高,正向词汇可能是表层线索，不能仅凭形容词认定完整行为功能。,current_ai_grouping_pending_human_review,behavioral_function,recurrent_multi_latent_strong_candidate
AF,True,AF:affirmative_reflection,肯定性反映,affirmative reflection,在重述对方计划或状态时加入鼓励和正向强化。,2,F7143|F25532,F7143/s001: sounds like you're really motivated and you're doing some research and kind of staying on top of it that's you know trying || F25532/s001: that sounds like a great idea,中,部分证据更接近一般反映或固定 sounds like 模板。,current_ai_grouping_pending_human_review,behavioral_function,recurrent_multi_latent_candidate
