item_id,label,is_leaf_label,latent_idx,rank_within_label,inclusion_frequency,abs_cohens_d,evidence_class,behavior_component_id,behavior_component,representation_component_id,representation_component,grouping_status,short_name,primary_explanation,candidate_behavioral_explanation,representative_evidence,alternative_explanations,possible_confounds,limitations,card_confidence,model_reported_support_fraction,coding_provenance,grouping_provenance
RE_31363,RE,False,31363,27,1.0,0.5664118,behavioral_function,,,,,behavior_unassigned,therapeutic_discourse_markers,"The sentences predominantly feature discourse markers (e.g., 'so', 'and', 'but', 'and then') and second-person pronouns ('you', 'your'), characteristic of therapeutic or counseling dialogue where the speaker guides, advises, or reflects on the listener's experiences.","The sentences function as therapeutic or coaching utterances: they include reflections (s004, s041), advice (s029, s036), affirmations (s042, s048), and exploratory questions (s002, s049), all common in clinical or motivational interviewing contexts.",s004: and then also it sounds like you're kind of feeling not so great about your resume and your experience || s029: so I would probably say maybe to stay away from the lemon shallot butter noise and maybe steer towards that simply grilled with olive oil or the maybe the baked or,"The sentences could be from a single conversation transcript, with the pattern being the use of discourse markers like 'and', 'so', 'but' to connect turns, but this is less specific. | The pattern might be the frequent use of second-person pronouns ('you', 'your') indicating direct address, but this is a surface feature rather than a behavioral function.","The sentences are extracted from a larger transcript, so the pattern may reflect the overall conversation style rather than a stable feature of these sentences alone. | Some sentences (e.g., s045) are fragmentary and may not clearly exhibit the therapeutic function, but they still contain second-person pronouns.","The analysis assumes a therapeutic context, but without metadata, the setting could be other types of counseling or coaching. | The pattern is based on pragmatic function, which can be subjective; different annotators might label functions differently.",4,1.0,extracted_unchanged_from_validated_feature_card,current_ai_evidence_review
RE_23242,RE,False,23242,29,0.99,0.5590297,behavioral_function,,,,,behavior_unassigned,therapist_observation_and_affirmation,"The sentences predominantly involve a therapist or counselor observing, noting, or affirming client behaviors, feelings, or progress, often using phrases like 'I noticed', 'I see', 'I understand', or 'it sounds like'.","The primary behavioral function is to build rapport, validate client experiences, and guide the conversation by reflecting observations and encouraging disclosure.",s001: I noticed that you got a little tense and sort of it's almost like those wheels are turning again just considering it as the coaches are tracking || s002: I noticed that you filled out one of our drug questionnaires,"The sentences are from a clinical or counseling setting where the speaker reviews client forms and medical history. | The sentences involve the speaker expressing surprise or appreciation about client actions or progress. | The sentences are a mix of observations, affirmations, and questions about client behavior and health.","The dataset may include multiple speakers or contexts (e.g., medical, counseling, casual conversation) that are not distinguished. | Some sentences are incomplete or contain transcription errors, making interpretation ambiguous. | The presence of outliers like s006 suggests the set may include non-therapeutic interactions.","The primary pattern does not cover all sentences; outliers include compliments, greetings, and unrelated statements. | The behavioral function is inferred from context but not explicitly confirmed by the data. | The sample IDs are not ordered by time or speaker, so conversational flow is unknown.",3,0.6,extracted_unchanged_from_validated_feature_card,current_ai_evidence_review
RE_19005,RE,False,19005,32,0.99,0.54533213,behavioral_function,,,,,behavior_unassigned,therapeutic_discourse_markers,"The sentences predominantly feature discourse markers typical of therapeutic or counseling conversations, such as 'so', 'okay', 'yeah', 'um', and 'you know', along with reflective or probing questions about personal experiences, feelings, and behaviors.","The sentences function as therapeutic dialogue, including reflections, questions, and affirmations aimed at exploring client experiences, emotions, and behaviors.",s001: okay so where between hearing the person talking about Tim and going to the gym where did you decide to cut because you said you were also feeling like punching somebody so there must have been a point where you decided I'm going to cut || s009: well given that you've sort of noticed all these changes where it's affecting your friendships it's affecting your studying it's affecting your relationship with your mom,"The sentences could be from a motivational interviewing session, focusing on ambivalence and change talk. | They might represent a peer support group conversation, with shared experiences and advice.","The dataset may include multiple speakers (therapist and client), but the pattern of discourse markers remains consistent. | Some sentences are incomplete or contain transcription errors, but the overall therapeutic tone persists.","The analysis is based solely on text, lacking prosodic and contextual cues that could refine the interpretation. | The sample IDs are sequential, but the order may not reflect actual conversation flow.",4,1.0,extracted_unchanged_from_validated_feature_card,current_ai_evidence_review
RE_13169,RE,False,13169,39,0.95,0.5198702,behavioral_function,,,,,behavior_unassigned,therapeutic_reflection_and_advice,"The sentences predominantly involve a speaker reflecting on a client's or interlocutor's experiences, feelings, or behaviors, often using phrases like 'it sounds like' or 'I think', and offering advice, encouragement, or interpretation in a therapeutic or counseling context.","The primary behavioral function appears to be reflective listening and motivational interviewing, where the speaker mirrors the client's statements, validates emotions, and gently guides toward change.",s001: I don't think I'm ready to go there yet Michael but it sounds to me like you want to get off of your medication || s007: yeah well it sounds like there's some judgments in there right so it sounds like probably you're having some judgments like I'm feeling really bad yeah,"The sentences could be from a general conversation about health behaviors, with some being client statements and others counselor statements, but the reflective pattern is dominant. | The pattern might be an artifact of transcription from a therapy session, where the counselor uses reflective statements and the client responds with personal narratives.","The dataset may include both counselor and client utterances, mixing reflective and non-reflective sentences. | Some sentences are incomplete or fragmented, making interpretation ambiguous.","The primary interpretation covers about 70% of sentences; outliers include greetings, fragments, and client narratives. | The behavioral function is inferred from linguistic cues but not independently verified.",4,0.7,extracted_unchanged_from_validated_feature_card,current_ai_evidence_review
RE_26681,RE,False,26681,48,0.9,0.5051013,behavioral_function,,,,,behavior_unassigned,counseling_dialogue_you,"The sentences are from a counseling or motivational interview dialogue, consistently using second-person 'you' to address the client, discussing health behaviors (drinking, medication, diet, exercise) and psychological states (guilt, uncertainty, motivation).","The primary behavioral function is therapeutic guidance: the speaker uses reflective listening, open-ended questions, and advice to explore the client's ambivalence and promote behavior change.",s001: Of the advantages of you actually stopping or cutting down the drinking buddy thing might be the advantages || s005: so maybe thinking about those maybe we can apply those to you no more ways to motivate you to make those changes and get towards your solutions,"The sentences could be from a health coaching session focusing on lifestyle changes. | They might represent a peer support conversation about addiction recovery. | Alternatively, they could be excerpts from a structured clinical interview.","The sentences are decontextualized, lacking speaker labels and turn-taking cues. | Some sentences (e.g., s030 about teeth) seem less directly therapeutic but still fit the conversational frame. | The consistent use of 'you' could be an artifact of the transcription focusing on one speaker.","Without full dialogue context, the exact therapeutic modality is uncertain. | The sample may overrepresent certain topics (drinking, medication) due to selection bias.",4,1.0,extracted_unchanged_from_validated_feature_card,current_ai_evidence_review
RES_16320,RES,True,16320,12,0.85,0.3271168,behavioral_function,,,,,behavior_unassigned,second-person address in counseling,"The sentences predominantly use second-person pronouns (you/your/you're) in a therapeutic or counseling context, often reflecting, summarizing, or probing the client's experiences, feelings, or behaviors.","The sentences likely function as therapeutic reflections, affirmations, or exploratory questions used by a counselor to engage a client, validate their experiences, and encourage self-reflection.",s002: so and you may not be able to answer this question but if you didn't have any anxiety would that change your motivation to use marijuana || s008: so you're you're taking care of a lot of people your community your kids all the while trying to take care of yourself that's a lot,"The sentences could be from a motivational interviewing session, focusing on client ambivalence and change talk. | The pattern may reflect a general conversational style with frequent use of 'you know' as a filler, not specific to counseling.","Some sentences are incomplete or contain transcription errors, obscuring the intended function. | The presence of 'you know' as a discourse marker may inflate the appearance of second-person address.","Outliers include fragments, navigational instructions, and greetings that do not fit the counseling context. | The behavioral function is inferred from content and context, but no explicit metadata confirms the setting.",4,0.82,extracted_unchanged_from_validated_feature_card,current_ai_evidence_review
REC_29759,REC,True,29759,6,1.0,0.93792856,behavioral_function,,,,,behavior_unassigned,therapeutic reflection and questioning,"The sentences predominantly function as reflective statements or questions used in a therapeutic or counseling context, often summarizing, challenging, or exploring the speaker's experiences, feelings, or behaviors.","The sentences serve to elicit self-reflection, confirm understanding, or gently challenge the interlocutor's perspective, typical of motivational interviewing or therapy.","s007: So that means you want to quit now right || s023: So, you're gonna quit then?","The sentences could be from a structured interview or questionnaire about health behaviors, with the speaker summarizing or clarifying responses. | The pattern might reflect a conversational style where the speaker frequently uses 'you' to engage the listener, but the function varies across sentences.","The sentences are extracted from a larger dialogue, so the context of preceding and following turns is missing, which could alter the perceived function. | Transcription artifacts like false starts and repetitions may obscure the intended function.","Some sentences (e.g., s006, s031) are more ambiguous and could be interpreted as simple statements rather than therapeutic reflections. | The analysis relies on pragmatic inference without access to prosody or non-verbal cues.",4,1.0,extracted_unchanged_from_validated_feature_card,current_ai_evidence_review
REC_19005,REC,True,19005,12,1.0,0.8563329,behavioral_function,,,,,behavior_unassigned,therapeutic_discourse_markers,"The sentences predominantly feature discourse markers typical of therapeutic or counseling conversations, such as 'so', 'okay', 'yeah', 'um', and 'you know', along with reflective or probing questions about personal experiences, feelings, and behaviors.","The sentences function as therapeutic dialogue, including reflections, questions, and affirmations aimed at exploring client experiences, emotions, and behaviors.",s001: okay so where between hearing the person talking about Tim and going to the gym where did you decide to cut because you said you were also feeling like punching somebody so there must have been a point where you decided I'm going to cut || s009: well given that you've sort of noticed all these changes where it's affecting your friendships it's affecting your studying it's affecting your relationship with your mom,"The sentences could be from a motivational interviewing session, focusing on ambivalence and change talk. | They might represent a peer support group conversation, with shared experiences and advice.","The dataset may include multiple speakers (therapist and client), but the pattern of discourse markers remains consistent. | Some sentences are incomplete or contain transcription errors, but the overall therapeutic tone persists.","The analysis is based solely on text, lacking prosodic and contextual cues that could refine the interpretation. | The sample IDs are sequential, but the order may not reflect actual conversation flow.",4,1.0,extracted_unchanged_from_validated_feature_card,current_ai_evidence_review
REC_30091,REC,True,30091,30,0.89,0.76974744,behavioral_function,,,,,behavior_unassigned,therapeutic_discourse_markers,"The sentences predominantly feature discourse markers and reflective statements typical of therapeutic or counseling dialogue, such as 'so it sounds like', 'okay', 'so what I'm wondering', and 'it seems like', often followed by paraphrasing or summarizing the interlocutor's experience.","The sentences function as therapeutic reflections, clarifications, and prompts, aiming to explore the speaker's feelings, relationships, and behaviors, particularly around alcohol use, family dynamics, and emotional conflicts.",s002: so it sounds like there's very similar stories to you Lily the character on my breath yes || s013: L	so just to summarize the less good things that you mentioned you talked about your relationship your family's really really concerned,"The sentences could be part of a structured interview or assessment about substance use and family relationships, with a focus on eliciting personal narratives. | The pattern might reflect a specific therapeutic modality, such as motivational interviewing, characterized by open-ended questions and reflective listening.","The sentences are extracted from a single conversation or session, so the pattern may be specific to that context rather than a general linguistic feature. | Some sentences appear incomplete or contain transcription errors, which may obscure the intended function.","The analysis is based on text only, without prosodic or contextual cues that could clarify the discourse function. | The sample size is small and may not represent the full range of therapeutic discourse.",4,1.0,extracted_unchanged_from_validated_feature_card,current_ai_evidence_review
REC_23242,REC,True,23242,33,0.96,0.76113206,behavioral_function,,,,,behavior_unassigned,therapist_observation_and_affirmation,"The sentences predominantly involve a therapist or counselor observing, noting, or affirming client behaviors, feelings, or progress, often using phrases like 'I noticed', 'I see', 'I understand', or 'it sounds like'.","The primary behavioral function is to build rapport, validate client experiences, and guide the conversation by reflecting observations and encouraging disclosure.",s001: I noticed that you got a little tense and sort of it's almost like those wheels are turning again just considering it as the coaches are tracking || s002: I noticed that you filled out one of our drug questionnaires,"The sentences are from a clinical or counseling setting where the speaker reviews client forms and medical history. | The sentences involve the speaker expressing surprise or appreciation about client actions or progress. | The sentences are a mix of observations, affirmations, and questions about client behavior and health.","The dataset may include multiple speakers or contexts (e.g., medical, counseling, casual conversation) that are not distinguished. | Some sentences are incomplete or contain transcription errors, making interpretation ambiguous. | The presence of outliers like s006 suggests the set may include non-therapeutic interactions.","The primary pattern does not cover all sentences; outliers include compliments, greetings, and unrelated statements. | The behavioral function is inferred from context but not explicitly confirmed by the data. | The sample IDs are not ordered by time or speaker, so conversational flow is unknown.",3,0.6,extracted_unchanged_from_validated_feature_card,current_ai_evidence_review
