label,is_leaf_label,component_ref,representation_component,representation_component_en,definition,supporting_feature_count,supporting_sae_features,representative_evidence,confidence,boundary_note,status,evidence_class,structural_recurrence
RE,False,RE:reflective_reformulation,反映式重构与总结,reflective reformulation and summary,重述、概括或核对对方已经表达的经历和立场。,12,F30224|F3993|F31133|F26800|F1211|F16292|F28269|F29874|F3416|F2167|F2089|F4625,F30224/s005: it sounds like you really feel like you let yourself and your children down and that's hard to accept given how much you love your kids || F3993/s001: and so it's already it's pretty obvious and it also sounds like that pain is really taken up a pretty big role in your in your life and it feels like a pretty big barrier right there || F31133/s003: It does sound like something pretty significant happened that sort of  Freaked everybody out.,高,缺少前一句 client utterance，反映关系只能作为候选。,current_ai_grouping_pending_human_review,behavioral_function,recurrent_multi_latent_strong_candidate
RE,False,RE:ambivalence_reflection,矛盾与双面反映,ambivalence and two-sided reflection,同时呈现冲突立场、利弊或一方面/另一方面的张力。,3,F10181|F20436|F12852,F10181/s001: so some of the negative things would be it's a impact on your health right the the smell clothes and so forth and then there's a lot of kind of social pushback || F20436/s001: okay so on one hand you feel like it would be a relief to be less stressed and overwhelmed about your schoolwork and then on the other hand you feel like you just don't have time to go to counseling because you have so much work to do || F12852/s002: okay so on one hand you feel like it would be a relief to be less stressed and overwhelmed about your schoolwork and then on the other hand you feel like you just don't have time to go to counseling because you have so much work to do,高,部分卡片同时含建议成分，不能视为纯粹反映。,current_ai_grouping_pending_human_review,behavioral_function,recurrent_multi_latent_strong_candidate
RE,False,RE:emotion_focused_reflection,情绪与压力反映,emotion-focused reflection,重述压力、挫折、羞愧或不堪重负等主观体验。,2,F22558|F26968,F22558/s001: Wow okay so it sounds like you're feeling pretty confident after our discussion || F26968/s002: okay so right now you have so much going on that you're just feeling totally overwhelmed you don't even know where to start,中,当前话语可显示情绪概括，但无法确认是否准确回应前文。,current_ai_grouping_pending_human_review,behavioral_function,recurrent_multi_latent_candidate
RE,False,RE:directive_risk_guidance,直接建议与风险反馈,directive advice and risk feedback,直接提出行动建议、警示后果或强调健康风险。,5,F1516|F7054|F11405|F29845|F20564,"F1516/s003: Okay, well, um, you're going to have to cut the fast food down to no more than once a week || F7054/s001: yeah absolutely if you don't have that first if you can stop yourself having that first drink you're more inclined not to keep drinking of course || F11405/s002: Well, you know, you're doing good but don't forget what we talked about today, okay, about your chew tobacco and your mouth",中,该成分与 RE 标签并不等价，可能反映共享或混合特征。,current_ai_grouping_pending_human_review,behavioral_function,recurrent_multi_latent_strong_candidate
RE,False,RE:confirmatory_exploration,确认与探索性追问,confirmatory and exploratory prompting,通过确认式或开放式追问促使对方说明计划、原因或立场。,2,F29759|F15504,"F29759/s007: So that means you want to quit now right || F15504/s005: So, you're gonna quit then?",中,卡片内部混合确认、提问和反映，不宜进一步细分。,current_ai_grouping_pending_human_review,behavioral_function,recurrent_multi_latent_candidate
RES,True,RES:reflection_clarification,反映与理解核对,reflection and understanding check,重述对方表述并通过确认问题核对理解。,3,F28269|F29759|F8468,"F28269/s001: So, you're gonna quit then? || F29759/s007: So that means you want to quit now right || F8468/s002: and so because you were worried about them thinking that you were trying to avoid them you ended up using marijuana is that correct",中,缺少 client 前文，无法确认其是否构成简单反映。,current_ai_grouping_pending_human_review,behavioral_function,recurrent_multi_latent_strong_candidate
RES,True,RES:directive_risk_guidance,建议与风险提示,advice and risk warning,提出行为建议、健康警示或直接评价可能后果。,3,F1516|F32727|F27859,"F1516/s003: Okay, well, um, you're going to have to cut the fast food down to no more than once a week || F32727/s003: you're likely to face costly legal citations for grades health problems getting kicked out of school and disappointing your parents || F27859/s001: well those are some great alternatives instead of going to gym you save a lot of time",中,与 RES 的关联可能来自混合卡片，而非反映功能本身。,current_ai_grouping_pending_human_review,behavioral_function,recurrent_multi_latent_strong_candidate
REC,True,REC:reflective_reformulation,反映式重构与总结,reflective reformulation and summary,对经历、陈述或会谈内容进行重述、概括和理解核对。,11,F31133|F26800|F30224|F3993|F16292|F29874|F1211|F2089|F1455|F31915|F3416,F31133/s003: It does sound like something pretty significant happened that sort of  Freaked everybody out. || F26800/s002: you obviously know yourself pretty well || F30224/s005: it sounds like you really feel like you let yourself and your children down and that's hard to accept given how much you love your kids,高,没有前文时不能据此确认重构增加了多少语义。,current_ai_grouping_pending_human_review,behavioral_function,recurrent_multi_latent_strong_candidate
REC,True,REC:ambivalence_reflection,矛盾与双面反映,ambivalence and two-sided reflection,组织并呈现冲突目标、利弊或两面性。,3,F20436|F10181|F12852,F20436/s001: okay so on one hand you feel like it would be a relief to be less stressed and overwhelmed about your schoolwork and then on the other hand you feel like you just don't have time to go to counseling because you have so much work to do || F10181/s001: so some of the negative things would be it's a impact on your health right the the smell clothes and so forth and then there's a lot of kind of social pushback || F12852/s002: okay so on one hand you feel like it would be a relief to be less stressed and overwhelmed about your schoolwork and then on the other hand you feel like you just don't have time to go to counseling because you have so much work to do,高,部分证据同时包含引导改变的表达。,current_ai_grouping_pending_human_review,behavioral_function,recurrent_multi_latent_strong_candidate
REC,True,REC:emotion_experience_reflection,情绪与经历反映,emotion and experience reflection,概括情绪状态、困境或重要经历并表达理解。,4,F22558|F16256|F26968|F32596,F22558/s001: Wow okay so it sounds like you're feeling pretty confident after our discussion || F16256/s003: and when you say it was scary I hear you saying on some level was scary for you and your your safety but it also sounds like it was scary because all these other variables or elements were put in motion that were disruptive || F26968/s002: okay so right now you have so much going on that you're just feeling totally overwhelmed you don't even know where to start,中,缺少前文，准确性和复杂程度均待人工核对。,current_ai_grouping_pending_human_review,behavioral_function,recurrent_multi_latent_strong_candidate
REC,True,REC:directive_plan_feedback,建议、计划与风险反馈,"advice, planning, and risk feedback",提供建议、归纳行动计划或强调行为风险。,5,F11405|F9993|F7054|F31867|F8226,"F11405/s002: Well, you know, you're doing good but don't forget what we talked about today, okay, about your chew tobacco and your mouth || F9993/s001: it might be your decision if you want children but as a doctor I'm not prepared to make that decision and to verify that decision for you || F7054/s001: yeah absolutely if you don't have that first if you can stop yourself having that first drink you're more inclined not to keep drinking of course",中,该组是 REC 关联中的非典型行为功能，不应写成 REC 定义。,current_ai_grouping_pending_human_review,behavioral_function,recurrent_multi_latent_strong_candidate
QU,False,QU:open_exploration,开放式经历与观点探索,open exploration of experience and perspective,邀请对方展开经历、感受、观点或个人情境。,8,F9959|F26485|F21125|F24744|F26144|F24761|F18730|F32508,F9959/s001: What kind of dog do you have? || F26485/s005: how do you feel about that || F21125/s001: okay so you said that you were a big runner what role did running play in your life,高,部分卡片也包含事实收集，边界以是否鼓励展开作区分。,current_ai_grouping_pending_human_review,behavioral_function,recurrent_multi_latent_strong_candidate
