latent_idx,all_labels,leaf_labels,sharing_scope_all_labels,sharing_scope_leaf_labels,evidence_class,short_name,component_assignments
111,RE|REC,REC,parent_child,no_multi_leaf_overlap,linguistic_structure,it-cleft and discourse marker 'so',RE:it 引导的评价结构|REC:反映式表层模板
664,QU|QUO|QUC,QUO|QUC,parent_child,sibling_leaf,behavioral_function,motivational_interviewing_scale_questions,QU:isolated/unassigned|QUO:isolated/unassigned|QUC:结构化自我评分
1211,RE|REC,REC,parent_child,no_multi_leaf_overlap,behavioral_function,therapist_reframing_and_summarizing,RE:反映式重构与总结|REC:反映式重构与总结
1516,RE|RES,RES,parent_child,no_multi_leaf_overlap,behavioral_function,second-person advice and counseling,RE:直接建议与风险反馈|RES:建议与风险提示
2089,RE|REC,REC,parent_child,no_multi_leaf_overlap,behavioral_function,therapist reflection with 'it seems',RE:反映式重构与总结|REC:反映式重构与总结
2995,RE|REC|SU,REC|SU,cross_family,cross_family,unclear_or_mixed,counseling_dialogue_mixed,RE:混合型咨询话语|REC:混合型咨询话语|SU:混合型支持话语
3416,RE|REC,REC,parent_child,no_multi_leaf_overlap,behavioral_function,therapist reflective listening,RE:反映式重构与总结|REC:反映式重构与总结
3459,QU|QUO,QUO,parent_child,no_multi_leaf_overlap,linguistic_structure,Wh-questions with repetition and hesitation,QU:问句重复与不流利|QUO:WH 问句与不流利结构
3805,RE|REC,REC,parent_child,no_multi_leaf_overlap,unclear_or_mixed,therapeutic_discourse_mixed,RE:混合型咨询话语|REC:混合型咨询话语
3993,RE|REC,REC,parent_child,no_multi_leaf_overlap,behavioral_function,therapist reflective listening,RE:反映式重构与总结|REC:反映式重构与总结
4018,RE|REC,REC,parent_child,no_multi_leaf_overlap,linguistic_structure,seems_like_feel_pattern,RE:反映式表层模板|REC:反映式表层模板
5663,RE|REC,REC,parent_child,no_multi_leaf_overlap,linguistic_structure,discourse_marker_so,RE:so 引导的话语启动结构|REC:so 引导的话语启动结构
7054,RE|REC,REC,parent_child,no_multi_leaf_overlap,behavioral_function,second-person advice and evaluation,RE:直接建议与风险反馈|REC:建议、计划与风险反馈
