item_id,label,is_leaf_label,latent_idx,rank_within_label,inclusion_frequency,abs_cohens_d,evidence_class,behavior_component_id,behavior_component,representation_component_id,representation_component,grouping_status,short_name,primary_explanation,candidate_behavioral_explanation,representative_evidence,alternative_explanations,possible_confounds,limitations,card_confidence,model_reported_support_fraction,coding_provenance,grouping_provenance
RE_19435,RE,False,19435,2,1.0,0.8193015,linguistic_structure,,,so_discourse_launch,so 引导的话语启动结构,assigned_nonbehavior_component,so_you_statements,"The sentences predominantly begin with 'so you' followed by a verb phrase, forming a pattern of reflective or summarizing statements that appear to be therapist or counselor utterances in a clinical or motivational interviewing context.","The sentences likely function as reflective listening or summarizing statements used in therapeutic settings to validate, clarify, or prompt further discussion from the client.",s004: soyou're concerned about having a stroke || s012: so you're testing a lot,"The sentences could be part of a structured interview or questionnaire where the interviewer paraphrases the respondent's answers. | The pattern might reflect a specific therapeutic technique (e.g., motivational interviewing) where the therapist uses 'so you' to reflect the client's statements.","The sentences are extracted from a larger dialogue, so the pattern may be an artifact of the transcription or annotation process focusing on therapist turns. | Some sentences (e.g., s002) are longer and more complex, but still follow the 'so you' pattern.",The analysis is based solely on the provided sentences without context of the full conversation. | The pattern is primarily structural; the behavioral function is inferred but not directly confirmed.,4,1.0,extracted_unchanged_from_validated_feature_card,current_ai_evidence_review
RE_31930,RE,False,31930,3,1.0,0.6844043,linguistic_structure,,,so_discourse_launch,so 引导的话语启动结构,assigned_nonbehavior_component,So-prefixed therapeutic questions,"The majority of sentences begin with the discourse marker 'So' followed by a question or reflective statement typical of therapeutic or counseling contexts, often addressing personal behaviors, health, or relationships.","The sentences function as therapeutic prompts or exploratory questions, likely from a clinician to a client, aimed at eliciting information or reflection.","s003: So Greg, just focus on your drinking, can you tell me a bit about when you first started drinking when || s016: So basically, you're not planning on cutting down; you are just going to do the same thing?","The sentences could be part of a structured interview or assessment protocol, with 'So' serving as a conversational opener. | The pattern might reflect a specific therapeutic technique (e.g., motivational interviewing) where 'So' is used to transition or summarize.","The dataset may be drawn from a single clinical setting, limiting generalizability. | Transcription artifacts (e.g., 'hmm', 'yeah') may obscure the pattern.","Some sentences (e.g., s025, s032) are less clearly questions but still start with 'So'. | The behavioral function is inferred from context but not explicitly labeled.",4,1.0,extracted_unchanged_from_validated_feature_card,current_ai_evidence_review
RE_14875,RE,False,14875,5,1.0,0.6773471,linguistic_structure,,,so_discourse_launch,so 引导的话语启动结构,assigned_nonbehavior_component,therapeutic_discourse_markers,"The majority of sentences begin with 'and so' or 'so', functioning as discourse markers that connect to prior talk, often in a therapeutic or counseling context. These sentences typically involve reflective listening, scaling questions, or exploratory prompts about feelings, behaviors, or motivations.","The sentences appear to be from a therapeutic or coaching interaction, where the speaker uses 'and so' to build rapport, summarize, or probe deeper into the client's experiences. Common functions include reflecting feelings, asking about readiness to change, and exploring barriers.",s012: and so let's look at those two here || s020: and so are you interested in stopping smoking?,"The sentences could be from a corpus of transcribed therapy sessions, with 'and so' being a common filler or transition used by therapists. | Alternatively, the pattern might reflect a specific annotation or transcription style where 'and so' is inserted to indicate a continuation of speech.","The presence of 'so' in all sentences might be an artifact of the data collection or transcription process, rather than a genuine linguistic pattern. | Some sentences (e.g., s001, s046) show grammatical errors or incoherence, suggesting possible transcription errors or non-native speech.","The analysis assumes a single discourse context, but the sentences vary in coherence and may come from multiple speakers or settings. | The pattern is primarily structural (discourse marker) and may not capture deeper behavioral functions consistently.",4,1.0,extracted_unchanged_from_validated_feature_card,current_ai_evidence_review
RE_5663,RE,False,5663,6,1.0,0.6631307,linguistic_structure,,,so_discourse_launch,so 引导的话语启动结构,assigned_nonbehavior_component,discourse_marker_so,"The sentences consistently use the discourse marker 'so' in a turn-initiating or transition role, often at the start of a clause or after a pause, to connect ideas or signal a shift in topic or focus.",The available sentences do not support a stable behavioral-function interpretation.,s001: so you can't imagine that so is look at the other side can you imagine having further instance with law enforcement we're charges in the future || s004: I understand so tell me how often do you drink,"The sentences may represent therapeutic or counseling dialogue, where 'so' is used to summarize or redirect the conversation. | The pattern could be a transcription artifact where 'so' is overrepresented due to conversational speech habits.","The dataset may be drawn from a single conversation type (e.g., therapy sessions) where 'so' is particularly frequent. | Some instances of 'so' may be part of fixed phrases (e.g., 'so far', 'so good') rather than discourse markers.","The pattern is purely structural and does not capture the diverse topics or functions across sentences. | A few sentences (e.g., s034 'It's so ....') are too short to confirm the pattern, but they still contain 'so'.",4,1.0,extracted_unchanged_from_validated_feature_card,current_ai_evidence_review
RE_26319,RE,False,26319,9,1.0,0.6578204,linguistic_structure,,,,,nonbehavior_isolated_or_unresolved,so_that_purpose_clauses,"A majority of sentences contain the discourse marker 'so' followed by a clause expressing purpose, result, or explanation, often in therapeutic or advisory contexts. The pattern includes 'so that' purpose clauses (e.g., s001, s002, s003) and 'so' as a discourse marker introducing a consequence or summary (e.g., s023, s030, s040).","The sentences appear to function as therapeutic or counseling discourse, where the speaker uses 'so' to link actions to goals, provide feedback, or summarize understanding. This pattern supports collaborative problem-solving and motivational interviewing.",s001: and I wanted to get your reaction to this news so that I can better help you || s023: so that sounds doable,"The sentences may reflect a therapeutic register with frequent use of 'so' as a conversational filler or transition marker. | The pattern could be an artifact of transcription, where 'so' is used to indicate speaker continuation or turn-taking.","The dataset may be drawn from a single domain (e.g., counseling transcripts), inflating the frequency of 'so'. | Some sentences lack 'so' (e.g., s009, s010, s011, s012, s045, s046, s047, s048) but still fit the broader therapeutic context.","The pattern is primarily structural and does not capture the full range of behavioral functions. | Sentences without 'so' (e.g., s009, s010) are still included as supporting because they share the therapeutic context, but they weaken the linguistic pattern.",4,1.0,extracted_unchanged_from_validated_feature_card,current_ai_evidence_review
RE_15068,RE,False,15068,13,1.0,0.634514,linguistic_structure,,,it_evaluative_construction,it 引导的评价结构,assigned_nonbehavior_component,it-cleft and evaluative stance,"The majority of sentences use an 'it is/feels/sounds/looks like' structure to express an evaluation, opinion, or reflection about a situation, often in a therapeutic or advisory context. The pattern involves a dummy subject 'it' followed by a copula or perception verb and an evaluative complement.","The sentences function as reflective statements, often summarizing, validating, or reframing the interlocutor's experience, typical of counseling or motivational interviewing.",s003: yeah and it got the feeling that it's something that you want to think about that this is a really big decision and it's not one that you're gonna make in a hurry || s016: so it sounds like it's a way to relax it's a way to socialize with your friends from work and it's hard to imagine what it would be like for you at work if you couldn't go outside and smoke,"The sentences may be part of a motivational interviewing script, with frequent use of reflective listening and affirmation. | The pattern could be a transcription artifact where speakers use 'it' as a filler or discourse marker without specific referent.","The sentences come from a single conversation or domain (e.g., health behavior change), which may inflate the apparent pattern. | The 'it' structure may be overrepresented due to the topic (e.g., discussing smoking, drinking, dental care).","Some sentences (e.g., s020, s035) have less clear 'it' structures but still fit the evaluative stance. | The behavioral function is inferred from context but not explicitly confirmed.",4,1.0,extracted_unchanged_from_validated_feature_card,current_ai_evidence_review
RE_2995,RE,False,2995,17,1.0,0.6080913,unclear_or_mixed,,,mixed_counseling_discourse,混合型咨询话语,assigned_nonbehavior_component,counseling_dialogue_mixed,"The sentences appear to be from a counseling or healthcare dialogue, characterized by frequent use of discourse markers (e.g., 'um', 'yeah', 'so', 'I mean'), second-person address ('you'), and expressions of empathy, advice, or reflection. The pattern is a mix of therapist/healthcare provider statements and client/patient responses, but no single behavioral function or linguistic structure dominates across all sentences.",The available sentences do not support a stable behavioral-function interpretation.,s002: this is a big stuff for you I know I'm it's hard to make a step like this || s006: well I don't mean to be evasive about this but I just I want to know what do you think you should do in this situation,"The sentences could be from a motivational interviewing session, with many examples of reflective listening and open-ended questions. | Alternatively, they might be from a general conversation about health behavior change, with both provider and patient turns.","The sentences are decontextualized, making it hard to distinguish speaker roles. | Transcription artifacts (e.g., 'um', 'yeah') may overrepresent discourse markers.","No single pattern covers all sentences; some are questions, some are statements, some are advice. | The mix of topics (dental, exercise, drinking, etc.) suggests multiple sub-dialogues.",3,1.0,extracted_unchanged_from_validated_feature_card,current_ai_evidence_review
RE_17861,RE,False,17861,20,1.0,0.5859378,linguistic_structure,,,second_person_evaluation,第二人称评价与经历陈述,assigned_nonbehavior_component,second-person statements about personal experiences,"The sentences predominantly use second-person 'you' to describe the addressee's actions, feelings, or states, often in a conversational or therapeutic context. The pattern is a stable linguistic structure of addressing the listener directly.",The available sentences do not support a stable behavioral-function interpretation.,s001: you keep throwing wine into the conversation || s008: you look really healthy good very healthy,The sentences may reflect a therapeutic or coaching discourse where the speaker reflects or summarizes the client's statements. | The pattern could be a transcription artifact from a conversation where the speaker frequently uses 'you' to engage the listener.,"The sentences are extracted from a larger conversation, so the pattern may be influenced by the dialogue context. | Some sentences include discourse markers like 'okay so' or 'and' that are typical of spoken language.","The pattern is purely structural and does not capture the variety of topics or functions across sentences. | Some sentences are incomplete or contain disfluencies, which may affect pattern detection.",4,1.0,extracted_unchanged_from_validated_feature_card,current_ai_evidence_review
RE_20808,RE,False,20808,22,0.99,0.58335435,linguistic_structure,,,second_person_evaluation,第二人称评价与经历陈述,assigned_nonbehavior_component,second-person address,"All sentences begin with or contain the second-person pronoun 'you', often followed by a verb phrase, forming direct address or statements about the addressee. This pattern is consistent across the majority of sentences, though some include discourse markers like 'you know' or contractions like 'you're'.","The sentences appear to function as conversational turns in a dialogue, likely from a counseling or medical interview context, where the speaker addresses the listener directly, making observations, asking questions, or giving advice.",s002: You've gotten pretty isolated. || s011: You're putting yourself at risk for all these other diseases,"The sentences may reflect a therapeutic or counseling discourse where the speaker reflects the client's feelings or behaviors. | The sentences could be from a health advice or motivational interviewing context, focusing on the addressee's habits or health.","The dataset may be sampled from a specific genre (e.g., therapy transcripts) where second-person address is common. | Some sentences are fragments or contain disfluencies (e.g., s026, s038) that may reflect spoken language artifacts.","The pattern is purely structural; behavioral function is inferred but not strongly evidenced. | Some sentences are incomplete or ambiguous (e.g., s016, s026), making interpretation less certain.",4,1.0,extracted_unchanged_from_validated_feature_card,current_ai_evidence_review
RE_21800,RE,False,21800,24,0.99,0.57349217,linguistic_structure,,,reflection_surface_template,反映式表层模板,assigned_nonbehavior_component,it_sounds_like_reflection,"The majority of sentences begin with 'it sounds like' or a variant, followed by a reflective summary or interpretation of the speaker's situation, often in a therapeutic or coaching context.","The sentences function as reflective listening or summarizing statements, commonly used in counseling or motivational interviewing to show understanding and validate the speaker's experience.",s004: okay so it sounds like you're willing to make a change and you're getting kind of excited about possibly having more energy || s008: okay so it sounds like you're drinking about four times a week anywhere between three and eight drinks on a given day so maybe around  drinks a week,"The sentences are all from a single conversation or transcript, possibly a therapy session, where the speaker uses a consistent discourse marker. | The pattern may reflect a specific annotation or transcription style where 'it sounds like' is a common phrase used to introduce paraphrases.","The dataset may be from a single domain (e.g., counseling) where this phrasing is typical, limiting generalizability. | Some sentences are incomplete or truncated, which may affect pattern detection.","A few sentences (e.g., s033, s035, s050) use 'seems like' instead of 'sounds like', indicating slight variation. | The behavioral function is inferred from context but not explicitly confirmed.",4,0.94,extracted_unchanged_from_validated_feature_card,current_ai_evidence_review
