grade,review_status,label,selection_order,latent_idx,rank_within_label,inclusion_frequency,abs_cohens_d,short_name,explanation_type,confidence,support_fraction_model_reported,selection_rationale,human_final_name,reviewer_1,reviewer_2,human_review_notes
B,pending_human_review,RES,1,20808,1,1.0,0.70120627,second-person address,linguistic_structure,4,1.0,标签内稳定排名第1；明确的第二人称表层模式，作为避免行为过度解释的结构基线。,,,,
B,pending_human_review,RES,2,28269,2,1.0,0.42628196,therapist_paraphrase_so_okay,behavioral_function,4,0.96,标签内稳定排名第2；so/okay 引导的改述模式，代表候选反映功能。,,,,
B,pending_human_review,RES,3,29759,4,1.0,0.42122835,therapeutic reflection and questioning,behavioral_function,4,1.0,标签内稳定排名第4，且与 REC 共享；用于审查反映与提问的功能混合。,,,,
B,pending_human_review,RES,4,13966,6,0.99,0.41205236,you're statements about health and emotions,linguistic_structure,4,1.0,标签内稳定排名第6；you're + 状态描述结构，区别于纯 so-you 模板。,,,,
B,pending_human_review,RES,5,19435,8,0.91,0.36710334,so_you_statements,linguistic_structure,4,1.0,标签内稳定排名第8，且与 REC 共享；so you 表层结构清晰，行为功能需人工收窄。,,,,
B,pending_human_review,REC,1,31133,1,1.0,0.96537316,sounds_like_reflection,behavioral_function,4,0.86,标签内稳定排名第1；it/that sounds like 模板与反映候选直接对应。,,,,
B,pending_human_review,REC,2,20436,2,1.0,0.95610064,ambivalence_reflection,behavioral_function,4,1.0,标签内稳定排名第2；on one hand/on the other hand 的矛盾心理改述，功能较具体。,,,,
B,pending_human_review,REC,3,30224,4,1.0,0.9464679,therapeutic reflection and questioning,behavioral_function,4,0.92,标签内稳定排名第4；反映、改述与开放提问共现，适合审查复杂反映边界。,,,,
B,pending_human_review,REC,4,19435,5,1.0,0.93838876,so_you_statements,linguistic_structure,4,1.0,标签内稳定排名第5，且与 RES 共享；保留可观察的 so you 结构。,,,,
B,pending_human_review,REC,5,15068,8,1.0,0.9079166,it-cleft and evaluative stance,linguistic_structure,4,1.0,标签内稳定排名第8；it + copula/perception + evaluation 结构，提供句法多样性。,,,,
B,pending_human_review,QUO,1,9959,1,1.0,1.7623034,open-ended questions about personal experiences,behavioral_function,4,0.94,标签内稳定排名第1；围绕个人经历和原因的开放式提问。,,,,
B,pending_human_review,QUO,2,23183,4,1.0,1.3388325,what-initial questions,linguistic_structure,4,0.92,标签内稳定排名第4；what-initial 结构明确，作为表层形式代表。,,,,
B,pending_human_review,QUO,3,26485,5,1.0,1.3121221,how_questions,behavioral_function,4,0.96,标签内稳定排名第5；how 引导的感受、方式和观点询问。,,,,
B,pending_human_review,QUO,4,11660,7,1.0,1.2639519,wh_questions_with_would,linguistic_structure,4,0.84,标签内稳定排名第7，且与 QUC 共享；wh + would 假设/偏好问句。,,,,
B,pending_human_review,QUO,5,18310,8,1.0,1.2511157,open-ended questions about change and barriers,behavioral_function,4,1.0,标签内稳定排名第8；围绕改变、障碍和计划的开放式功能候选。,,,,
B,pending_human_review,QUC,1,21935,1,1.0,1.4611208,health-behavior questions,behavioral_function,4,0.9,标签内稳定排名第1；健康行为相关的 do/have/can 问句代表。,,,,
B,pending_human_review,QUC,2,14014,3,1.0,1.3069197,medical_history_questions,behavioral_function,4,0.8,标签内稳定排名第3；did/have 引导的病史与行为事实询问。,,,,
B,pending_human_review,QUC,3,12555,8,1.0,0.8464623,do_you_questions,linguistic_structure,4,0.92,标签内稳定排名第8；do you 是可直接核查的封闭问句结构。,,,,
B,pending_human_review,QUC,4,20463,15,1.0,0.76846135,are_you_questions,linguistic_structure,4,1.0,标签内稳定排名第15；are you 结构补充系词/进行体问句类型。,,,,
B,pending_human_review,QUC,5,2504,21,0.96,0.6742597,yes/no questions with auxiliary fronting,linguistic_structure,4,0.92,标签内稳定排名第21；辅助动词前置是最明确的 yes/no 句法候选，因多样性纳入。,,,,
B,pending_human_review,GI,1,16345,1,0.99,0.6174774,medication_health_discourse,topic,4,1.0,标签内稳定排名第1；药物和健康信息主题稳定，且未强行指定单一行为功能。,,,,
B,pending_human_review,GI,2,26879,3,0.98,0.53894544,health_risk_advice,topic,3,0.86,标签内稳定排名第3；健康风险、益处和统计证据说明。,,,,
