item_id,label,is_leaf_label,latent_idx,rank_within_label,inclusion_frequency,abs_cohens_d,evidence_class,behavior_component_id,behavior_component,representation_component_id,representation_component,grouping_status,short_name,primary_explanation,candidate_behavioral_explanation,representative_evidence,alternative_explanations,possible_confounds,limitations,card_confidence,model_reported_support_fraction,coding_provenance,grouping_provenance
RE_29759,RE,False,29759,1,1.0,0.8470445,behavioral_function,confirmatory_exploration,确认与探索性追问,confirmatory_exploration,确认与探索性追问,assigned_behavior_component,therapeutic reflection and questioning,"The sentences predominantly function as reflective statements or questions used in a therapeutic or counseling context, often summarizing, challenging, or exploring the speaker's experiences, feelings, or behaviors.","The sentences serve to elicit self-reflection, confirm understanding, or gently challenge the interlocutor's perspective, typical of motivational interviewing or therapy.","s007: So that means you want to quit now right || s023: So, you're gonna quit then?","The sentences could be from a structured interview or questionnaire about health behaviors, with the speaker summarizing or clarifying responses. | The pattern might reflect a conversational style where the speaker frequently uses 'you' to engage the listener, but the function varies across sentences.","The sentences are extracted from a larger dialogue, so the context of preceding and following turns is missing, which could alter the perceived function. | Transcription artifacts like false starts and repetitions may obscure the intended function.","Some sentences (e.g., s006, s031) are more ambiguous and could be interpreted as simple statements rather than therapeutic reflections. | The analysis relies on pragmatic inference without access to prosody or non-verbal cues.",4,1.0,extracted_unchanged_from_validated_feature_card,current_ai_evidence_review
RE_19435,RE,False,19435,2,1.0,0.8193015,linguistic_structure,,,so_discourse_launch,so 引导的话语启动结构,assigned_nonbehavior_component,so_you_statements,"The sentences predominantly begin with 'so you' followed by a verb phrase, forming a pattern of reflective or summarizing statements that appear to be therapist or counselor utterances in a clinical or motivational interviewing context.","The sentences likely function as reflective listening or summarizing statements used in therapeutic settings to validate, clarify, or prompt further discussion from the client.",s004: soyou're concerned about having a stroke || s012: so you're testing a lot,"The sentences could be part of a structured interview or questionnaire where the interviewer paraphrases the respondent's answers. | The pattern might reflect a specific therapeutic technique (e.g., motivational interviewing) where the therapist uses 'so you' to reflect the client's statements.","The sentences are extracted from a larger dialogue, so the pattern may be an artifact of the transcription or annotation process focusing on therapist turns. | Some sentences (e.g., s002) are longer and more complex, but still follow the 'so you' pattern.",The analysis is based solely on the provided sentences without context of the full conversation. | The pattern is primarily structural; the behavioral function is inferred but not directly confirmed.,4,1.0,extracted_unchanged_from_validated_feature_card,current_ai_evidence_review
RE_31930,RE,False,31930,3,1.0,0.6844043,linguistic_structure,,,so_discourse_launch,so 引导的话语启动结构,assigned_nonbehavior_component,So-prefixed therapeutic questions,"The majority of sentences begin with the discourse marker 'So' followed by a question or reflective statement typical of therapeutic or counseling contexts, often addressing personal behaviors, health, or relationships.","The sentences function as therapeutic prompts or exploratory questions, likely from a clinician to a client, aimed at eliciting information or reflection.","s003: So Greg, just focus on your drinking, can you tell me a bit about when you first started drinking when || s016: So basically, you're not planning on cutting down; you are just going to do the same thing?","The sentences could be part of a structured interview or assessment protocol, with 'So' serving as a conversational opener. | The pattern might reflect a specific therapeutic technique (e.g., motivational interviewing) where 'So' is used to transition or summarize.","The dataset may be drawn from a single clinical setting, limiting generalizability. | Transcription artifacts (e.g., 'hmm', 'yeah') may obscure the pattern.","Some sentences (e.g., s025, s032) are less clearly questions but still start with 'So'. | The behavioral function is inferred from context but not explicitly labeled.",4,1.0,extracted_unchanged_from_validated_feature_card,current_ai_evidence_review
RE_30224,RE,False,30224,4,1.0,0.683084,behavioral_function,reflective_reformulation,反映式重构与总结,reflective_reformulation,反映式重构与总结,assigned_behavior_component,therapeutic reflection and questioning,"The sentences predominantly consist of therapist-like reflections, paraphrases, and open-ended questions that restate or explore the client's statements, often using discourse markers like 'so', 'okay', 'it sounds like', and 'what I'm hearing is'.","The primary behavioral function is therapeutic reflection and probing, where the speaker mirrors the client's words to encourage elaboration or insight.",s005: it sounds like you really feel like you let yourself and your children down and that's hard to accept given how much you love your kids || s020: so it sounds like you're saying that alcohol brings pot of both positive and negative aspects to your life,"The sentences could be part of a motivational interviewing script, focusing on eliciting change talk. | They might represent a collection of counseling session transcripts with a mix of therapist and client turns, but the majority are therapist turns.","Some sentences (e.g., s008, s015, s030, s043) may be client utterances or contain transcription errors, breaking the pattern. | The pattern may be an artifact of the data source (e.g., therapy transcripts) rather than a designed feature.","The interpretation is based on surface-level discourse markers and may not capture deeper therapeutic techniques. | Outliers suggest the set may include both therapist and client speech, but the majority are therapist-like.",4,0.92,extracted_unchanged_from_validated_feature_card,current_ai_evidence_review
RE_14875,RE,False,14875,5,1.0,0.6773471,linguistic_structure,,,so_discourse_launch,so 引导的话语启动结构,assigned_nonbehavior_component,therapeutic_discourse_markers,"The majority of sentences begin with 'and so' or 'so', functioning as discourse markers that connect to prior talk, often in a therapeutic or counseling context. These sentences typically involve reflective listening, scaling questions, or exploratory prompts about feelings, behaviors, or motivations.","The sentences appear to be from a therapeutic or coaching interaction, where the speaker uses 'and so' to build rapport, summarize, or probe deeper into the client's experiences. Common functions include reflecting feelings, asking about readiness to change, and exploring barriers.",s012: and so let's look at those two here || s020: and so are you interested in stopping smoking?,"The sentences could be from a corpus of transcribed therapy sessions, with 'and so' being a common filler or transition used by therapists. | Alternatively, the pattern might reflect a specific annotation or transcription style where 'and so' is inserted to indicate a continuation of speech.","The presence of 'so' in all sentences might be an artifact of the data collection or transcription process, rather than a genuine linguistic pattern. | Some sentences (e.g., s001, s046) show grammatical errors or incoherence, suggesting possible transcription errors or non-native speech.","The analysis assumes a single discourse context, but the sentences vary in coherence and may come from multiple speakers or settings. | The pattern is primarily structural (discourse marker) and may not capture deeper behavioral functions consistently.",4,1.0,extracted_unchanged_from_validated_feature_card,current_ai_evidence_review
RE_5663,RE,False,5663,6,1.0,0.6631307,linguistic_structure,,,so_discourse_launch,so 引导的话语启动结构,assigned_nonbehavior_component,discourse_marker_so,"The sentences consistently use the discourse marker 'so' in a turn-initiating or transition role, often at the start of a clause or after a pause, to connect ideas or signal a shift in topic or focus.",The available sentences do not support a stable behavioral-function interpretation.,s001: so you can't imagine that so is look at the other side can you imagine having further instance with law enforcement we're charges in the future || s004: I understand so tell me how often do you drink,"The sentences may represent therapeutic or counseling dialogue, where 'so' is used to summarize or redirect the conversation. | The pattern could be a transcription artifact where 'so' is overrepresented due to conversational speech habits.","The dataset may be drawn from a single conversation type (e.g., therapy sessions) where 'so' is particularly frequent. | Some instances of 'so' may be part of fixed phrases (e.g., 'so far', 'so good') rather than discourse markers.","The pattern is purely structural and does not capture the diverse topics or functions across sentences. | A few sentences (e.g., s034 'It's so ....') are too short to confirm the pattern, but they still contain 'so'.",4,1.0,extracted_unchanged_from_validated_feature_card,current_ai_evidence_review
RE_1516,RE,False,1516,7,1.0,0.6625647,behavioral_function,directive_risk_guidance,直接建议与风险反馈,directive_risk_guidance,直接建议与风险反馈,assigned_behavior_component,second-person advice and counseling,"The sentences predominantly use second-person 'you' to give advice, offer suggestions, or reflect on the listener's situation, often in a counseling or coaching context. The pattern includes discourse markers like 'okay', 'yeah', 'um', and 'well', and covers topics such as health, behavior change, and personal goals.","The primary behavioral function is giving advice, making suggestions, or providing reflective feedback in a supportive or directive manner, typical of counseling or coaching interactions.","s003: Okay, well, um, you're going to have to cut the fast food down to no more than once a week || s010: um you said that you know you weren't raised like that you're do parents do you think your parents would like if they knew you drank this much?","The sentences could be interpreted as a collection of conversational fragments from various contexts, with no single stable pattern beyond the use of 'you'. | The pattern might reflect a specific genre of transcribed therapy or coaching sessions, but the diversity of topics and tones suggests multiple sub-patterns.","The sentences are likely extracted from different parts of longer conversations, so the pattern may be an artifact of the extraction process focusing on utterances containing 'you'. | The presence of discourse fillers like 'um', 'yeah', 'okay' may be a transcription artifact rather than a genuine feature of the interaction.","The analysis is based solely on the provided sentences without full conversational context. | Some sentences (e.g., s041) have a different tone (aggressive) that may not fit the counseling interpretation perfectly.",4,1.0,extracted_unchanged_from_validated_feature_card,current_ai_evidence_review
RE_7054,RE,False,7054,8,1.0,0.6581278,behavioral_function,directive_risk_guidance,直接建议与风险反馈,directive_risk_guidance,直接建议与风险反馈,assigned_behavior_component,second-person advice and evaluation,"The sentences predominantly use second-person 'you' to give advice, evaluate behavior, or describe consequences in a counseling or coaching context. They often include conditionals, imperatives, or evaluative statements about the addressee's actions or state.","The sentences function as advice, warnings, or motivational statements typical of a health or addiction counselor addressing a client.",s001: yeah absolutely if you don't have that first if you can stop yourself having that first drink you're more inclined not to keep drinking of course || s003: yeah you're not here because you think you have a problem you're here because they sent you here,"The sentences could be part of a motivational interviewing transcript, where the counselor reflects and guides the client. | They might represent a collection of self-talk or internal monologue, but the consistent 'you' suggests direct address.","The sentences are extracted from a larger dialogue, so context is missing; some may be questions or statements from the client rather than the counselor. | The presence of 'yeah' and 'well' suggests conversational turns, but the function may vary by speaker role.","Without speaker labels, it is unclear whether all sentences are from the same speaker (e.g., counselor) or mixed. | Some sentences (e.g., s022 'I think you're wrong') could be client responses, but still fit the 'you' pattern.",4,1.0,extracted_unchanged_from_validated_feature_card,current_ai_evidence_review
RE_26319,RE,False,26319,9,1.0,0.6578204,linguistic_structure,,,,,nonbehavior_isolated_or_unresolved,so_that_purpose_clauses,"A majority of sentences contain the discourse marker 'so' followed by a clause expressing purpose, result, or explanation, often in therapeutic or advisory contexts. The pattern includes 'so that' purpose clauses (e.g., s001, s002, s003) and 'so' as a discourse marker introducing a consequence or summary (e.g., s023, s030, s040).","The sentences appear to function as therapeutic or counseling discourse, where the speaker uses 'so' to link actions to goals, provide feedback, or summarize understanding. This pattern supports collaborative problem-solving and motivational interviewing.",s001: and I wanted to get your reaction to this news so that I can better help you || s023: so that sounds doable,"The sentences may reflect a therapeutic register with frequent use of 'so' as a conversational filler or transition marker. | The pattern could be an artifact of transcription, where 'so' is used to indicate speaker continuation or turn-taking.","The dataset may be drawn from a single domain (e.g., counseling transcripts), inflating the frequency of 'so'. | Some sentences lack 'so' (e.g., s009, s010, s011, s012, s045, s046, s047, s048) but still fit the broader therapeutic context.","The pattern is primarily structural and does not capture the full range of behavioral functions. | Sentences without 'so' (e.g., s009, s010) are still included as supporting because they share the therapeutic context, but they weaken the linguistic pattern.",4,1.0,extracted_unchanged_from_validated_feature_card,current_ai_evidence_review
RE_3993,RE,False,3993,10,1.0,0.6380426,behavioral_function,reflective_reformulation,反映式重构与总结,reflective_reformulation,反映式重构与总结,assigned_behavior_component,therapist reflective listening,"The sentences predominantly function as therapist or counselor reflections, using phrases like 'it sounds like', 'so it seems like', and 'I hear you saying' to summarize or interpret the client's statements, often followed by a paraphrase of the client's experience or situation.","The primary behavioral function is reflective listening, a therapeutic technique where the therapist mirrors the client's statements to show understanding and encourage elaboration.",s001: and so it's already it's pretty obvious and it also sounds like that pain is really taken up a pretty big role in your in your life and it feels like a pretty big barrier right there || s005: sounds like you've been in a lot of pain and it's made it pretty difficult to do some of the things you normally do,"The sentences could be interpreted as a mix of therapeutic reflections and clinical information-gathering, where some utterances provide feedback or education rather than reflection. | Alternatively, the pattern might be a linguistic template used in motivational interviewing, where reflections are combined with affirmations and summaries.","The dataset may include multiple speakers (therapist vs. client) or different therapeutic styles, leading to variation in utterance types. | Transcription artifacts such as incomplete sentences or overlapping speech could obscure the intended function.","The primary interpretation does not cover all sentences; outliers include factual statements, affirmations, and questions that serve different functions. | The behavioral function is inferred from linguistic markers but may not reflect actual therapeutic intent without context.",4,0.68,extracted_unchanged_from_validated_feature_card,current_ai_evidence_review
